time,src_ip,dst_ip,frame_len,proto
"Sep  7, 2016 10:56:44.487105000 EDT",10.10.10.30,10.10.10.6,74,6.0
"Sep  7, 2016 10:56:44.492655000 EDT",10.10.10.30,10.10.10.6,66,6.0
"Sep  7, 2016 10:56:44.494443000 EDT",10.10.10.30,10.10.10.6,258,6.0
"Sep  7, 2016 10:56:44.494733000 EDT",10.10.10.6,10.10.10.30,66,6.0
"Sep  7, 2016 10:56:44.495539000 EDT",10.10.10.6,10.10.10.30,83,6.0
"Sep  7, 2016 10:56:44.500056000 EDT",10.10.10.30,10.10.10.6,66,6.0
"Sep  7, 2016 10:56:44.500531000 EDT",10.10.10.6,10.10.10.30,1115,6.0
"Sep  7, 2016 10:56:44.504108000 EDT",10.10.10.6,10.10.10.30,1514,6.0
"Sep  7, 2016 10:56:44.504108000 EDT",10.10.10.6,10.10.10.30,81,6.0
"Sep  7, 2016 10:56:44.513539000 EDT",10.10.10.6,10.10.10.30,81,6.0
"Sep  7, 2016 10:56:44.527664000 EDT",10.10.10.30,10.10.10.6,66,6.0
"Sep  7, 2016 10:56:44.527736000 EDT",10.10.10.30,10.10.10.6,66,6.0
"Sep  7, 2016 10:56:44.528813000 EDT",10.10.10.30,10.10.10.6,66,6.0
"Sep  7, 2016 10:56:44.529007000 EDT",10.10.10.6,10.10.10.30,66,6.0
"Sep  7, 2016 10:56:44.529153000 EDT",10.10.10.30,10.10.10.6,78,6.0
"Sep  7, 2016 10:56:44.820057000 EDT",10.10.10.30,10.10.10.6,74,6.0
"Sep  7, 2016 10:56:44.820472000 EDT",10.10.10.6,10.10.10.30,74,6.0
"Sep  7, 2016 10:56:44.824467000 EDT",10.10.10.30,10.10.10.6,66,6.0
"Sep  7, 2016 10:56:44.825706000 EDT",10.10.10.30,10.10.10.6,266,6.0
"Sep  7, 2016 10:56:44.826014000 EDT",10.10.10.6,10.10.10.30,66,6.0
"Sep  7, 2016 10:56:44.826841000 EDT",10.10.10.6,10.10.10.30,83,6.0
"Sep  7, 2016 10:56:44.827874000 EDT",10.10.10.6,10.10.10.30,713,6.0
