time,src_ip,dst_ip,frame_len,proto
"Sep  1, 2016 07:23:50.802340000 EDT",,,135,
"Sep  1, 2016 07:23:50.812050000 EDT",,,113,
"Sep  1, 2016 07:23:52.788901000 EDT",0.0.0.0,255.255.255.255,590,17.0
"Sep  1, 2016 07:23:54.713759000 EDT",0.0.0.0,255.255.255.255,590,17.0
"Sep  1, 2016 07:23:55.042057000 EDT",10.10.10.1,10.10.10.228,62,1.0
"Sep  1, 2016 07:23:55.042110000 EDT",10.10.10.1,10.10.10.228,342,17.0
"Sep  1, 2016 07:23:55.042172000 EDT",10.10.10.1,10.10.10.228,342,17.0
"Sep  1, 2016 07:23:55.198322000 EDT",0.0.0.0,255.255.255.255,590,17.0
"Sep  1, 2016 07:23:55.270245000 EDT",10.10.10.1,10.10.10.228,342,17.0
"Sep  1, 2016 07:23:55.591452000 EDT",,,42,
"Sep  1, 2016 07:23:55.591476000 EDT",,,42,
"Sep  1, 2016 07:23:55.592527000 EDT",10.10.10.228,10.10.10.1,75,17.0
"Sep  1, 2016 07:23:55.594127000 EDT",10.10.10.1,10.10.10.228,545,17.0
"Sep  1, 2016 07:23:55.690571000 EDT",10.10.10.228,144.76.172.53,90,17.0
"Sep  1, 2016 07:23:55.697011000 EDT",144.76.172.53,10.10.10.228,90,17.0
"Sep  1, 2016 07:23:55.739586000 EDT",,,42,
"Sep  1, 2016 07:23:55.812047000 EDT",10.10.10.228,10.10.10.1,80,17.0
"Sep  1, 2016 07:23:56.103195000 EDT",10.10.10.1,10.10.10.228,414,17.0
"Sep  1, 2016 07:23:56.106067000 EDT",10.10.10.228,52.18.200.165,74,6.0
"Sep  1, 2016 07:23:56.129008000 EDT",52.18.200.165,10.10.10.228,74,6.0
"Sep  1, 2016 07:23:56.130195000 EDT",10.10.10.228,52.18.200.165,66,6.0
"Sep  1, 2016 07:23:56.541958000 EDT",10.10.10.228,52.18.200.165,281,6.0
"Sep  1, 2016 07:23:56.564851000 EDT",52.18.200.165,10.10.10.228,66,6.0
"Sep  1, 2016 07:23:56.566698000 EDT",52.18.200.165,10.10.10.228,1434,6.0
"Sep  1, 2016 07:23:56.566725000 EDT",52.18.200.165,10.10.10.228,1434,6.0
"Sep  1, 2016 07:23:56.566732000 EDT",52.18.200.165,10.10.10.228,903,6.0
"Sep  1, 2016 07:23:56.569864000 EDT",10.10.10.228,52.18.200.165,66,6.0
"Sep  1, 2016 07:23:56.574747000 EDT",10.10.10.228,52.18.200.165,66,6.0
"Sep  1, 2016 07:23:56.574972000 EDT",10.10.10.228,52.18.200.165,66,6.0
"Sep  1, 2016 07:23:57.877264000 EDT",10.10.10.228,52.18.200.165,200,6.0
"Sep  1, 2016 07:23:57.900750000 EDT",52.18.200.165,10.10.10.228,300,6.0
"Sep  1, 2016 07:23:57.902046000 EDT",10.10.10.228,52.18.200.165,66,6.0
"Sep  1, 2016 07:23:57.913562000 EDT",10.10.10.228,52.18.200.165,588,6.0
"Sep  1, 2016 07:23:57.948434000 EDT",52.18.200.165,10.10.10.228,167,6.0
"Sep  1, 2016 07:23:57.987403000 EDT",10.10.10.228,52.18.200.165,66,6.0
"Sep  1, 2016 07:23:58.120643000 EDT",10.10.10.228,52.18.200.165,268,6.0
"Sep  1, 2016 07:23:58.179685000 EDT",52.18.200.165,10.10.10.228,66,6.0
"Sep  1, 2016 07:23:58.219837000 EDT",52.18.200.165,10.10.10.228,119,6.0
"Sep  1, 2016 07:23:58.220747000 EDT",10.10.10.228,52.18.200.165,66,6.0
"Sep  1, 2016 07:24:01.116832000 EDT",,,42,
"Sep  1, 2016 07:24:01.117656000 EDT",,,42,
