time,src_ip,dst_ip,frame_len,proto
"Apr 22, 2016 06:18:31.411841000 EDT",,,135,
"Apr 22, 2016 06:18:31.418754000 EDT",,,113,
"Apr 22, 2016 06:18:33.414126000 EDT",,,20,
"Apr 22, 2016 06:18:33.423147000 EDT",,,135,
"Apr 22, 2016 06:18:33.428207000 EDT",,,113,
"Apr 22, 2016 06:18:34.039912000 EDT",0.0.0.0,255.255.255.255,590,17
"Apr 22, 2016 06:18:34.075490000 EDT",0.0.0.0,255.255.255.255,590,17
"Apr 22, 2016 06:18:34.111447000 EDT",0.0.0.0,255.255.255.255,590,17
"Apr 22, 2016 06:18:34.147525000 EDT",0.0.0.0,255.255.255.255,590,17
"Apr 22, 2016 06:18:34.203647000 EDT",0.0.0.0,255.255.255.255,590,17
"Apr 22, 2016 06:18:35.231449000 EDT",0.0.0.0,255.255.255.255,590,17
"Apr 22, 2016 06:18:36.263454000 EDT",0.0.0.0,255.255.255.255,590,17
"Apr 22, 2016 06:18:37.258271000 EDT",,,70,
"Apr 22, 2016 06:18:37.897151000 EDT",,,60,
"Apr 22, 2016 06:18:37.897169000 EDT",,,42,
"Apr 22, 2016 06:18:39.954285000 EDT",,,90,
"Apr 22, 2016 06:18:41.258162000 EDT",,,70,
"Apr 22, 2016 06:18:42.963156000 EDT",,,42,
"Apr 22, 2016 06:18:42.963175000 EDT",,,42,
"Apr 22, 2016 06:18:42.965994000 EDT",10.10.10.158,10.10.10.1,74,17
"Apr 22, 2016 06:18:42.967427000 EDT",10.10.10.1,10.10.10.158,443,17
"Apr 22, 2016 06:18:42.974063000 EDT",10.10.10.158,10.10.10.1,89,17
"Apr 22, 2016 06:18:42.974175000 EDT",10.10.10.1,10.10.10.158,217,17
"Apr 22, 2016 06:18:45.037033000 EDT",10.10.10.158,10.10.10.1,79,17
"Apr 22, 2016 06:18:45.038432000 EDT",10.10.10.1,10.10.10.158,255,17
"Apr 22, 2016 06:18:45.178472000 EDT",10.10.10.158,10.10.10.1,62,17
"Apr 22, 2016 06:18:45.988040000 EDT",10.10.10.1,10.10.10.158,118,17
"Apr 22, 2016 06:18:46.008996000 EDT",10.10.10.158,10.10.10.1,62,17
"Apr 22, 2016 06:18:46.009134000 EDT",10.10.10.1,10.10.10.158,62,17
"Apr 22, 2016 06:18:46.028999000 EDT",10.10.10.158,10.10.10.1,62,17
"Apr 22, 2016 06:18:46.029136000 EDT",10.10.10.1,10.10.10.158,62,17
"Apr 22, 2016 06:18:46.048804000 EDT",10.10.10.158,10.10.10.1,62,17
"Apr 22, 2016 06:18:46.048940000 EDT",10.10.10.1,10.10.10.158,62,17
"Apr 22, 2016 06:18:46.068581000 EDT",10.10.10.158,10.10.10.1,62,17
"Apr 22, 2016 06:18:46.068721000 EDT",10.10.10.1,10.10.10.158,62,17
"Apr 22, 2016 06:18:46.222180000 EDT",10.10.10.158,129.132.2.21,90,17
"Apr 22, 2016 06:18:46.235160000 EDT",10.10.10.158,130.149.17.8,90,17
"Apr 22, 2016 06:18:46.250547000 EDT",10.10.10.158,192.53.103.104,90,17
"Apr 22, 2016 06:18:46.253511000 EDT",130.149.17.8,10.10.10.158,90,17
"Apr 22, 2016 06:18:46.262333000 EDT",192.53.103.104,10.10.10.158,90,17
"Apr 22, 2016 06:18:46.387886000 EDT",,,110,
"Apr 22, 2016 06:18:47.451833000 EDT",10.10.10.158,10.10.10.1,72,17
"Apr 22, 2016 06:18:47.568156000 EDT",10.10.10.1,10.10.10.158,468,17
"Apr 22, 2016 06:18:47.590147000 EDT",10.10.10.158,50.17.221.66,74,6
"Apr 22, 2016 06:18:47.689730000 EDT",50.17.221.66,10.10.10.158,74,6
"Apr 22, 2016 06:18:47.691977000 EDT",10.10.10.158,50.17.221.66,66,6
"Apr 22, 2016 06:18:47.815171000 EDT",10.10.10.158,50.17.221.66,293,6
"Apr 22, 2016 06:18:47.915341000 EDT",50.17.221.66,10.10.10.158,66,6
"Apr 22, 2016 06:18:47.915818000 EDT",50.17.221.66,10.10.10.158,1434,6
"Apr 22, 2016 06:18:47.915843000 EDT",50.17.221.66,10.10.10.158,1434,6
"Apr 22, 2016 06:18:47.915931000 EDT",50.17.221.66,10.10.10.158,1426,6
"Apr 22, 2016 06:18:47.916051000 EDT",50.17.221.66,10.10.10.158,869,6
"Apr 22, 2016 06:18:47.942026000 EDT",10.10.10.158,50.17.221.66,66,6
"Apr 22, 2016 06:18:47.942704000 EDT",10.10.10.158,50.17.221.66,66,6
"Apr 22, 2016 06:18:47.942993000 EDT",10.10.10.158,50.17.221.66,66,6
"Apr 22, 2016 06:18:47.943116000 EDT",10.10.10.158,50.17.221.66,66,6
"Apr 22, 2016 06:18:47.967842000 EDT",,,42,
"Apr 22, 2016 06:18:47.978946000 EDT",,,42,
